,domain_no,hmm_species,chain_type,e-value,score,seqstart_index,seqend_index,identity_species,v_gene,v_identity,j_gene,j_identity,unaligned_len,resolution,method,r_factor,date,year,dataset
7UPD:H,0,rhesus,H,7.3e-57,182.1,0,117,,,0.0,,0.0,118,0.0,ELECTRON MICROSCOPY,,2023-03-29,2023,test_new_234
7UPK:H,0,mouse,H,1.5e-58,187.5,0,115,,,0.0,,0.0,116,0.0,ELECTRON MICROSCOPY,,2023-03-29,2023,test_new_234
7UPL:H,0,human,H,1.9999999999999998e-54,174.3,0,118,,,0.0,,0.0,224,0.0,ELECTRON MICROSCOPY,,2022-08-10,2022,test_new_234
7UPX:H,0,human,H,4.4e-54,173.2,0,123,,,0.0,,0.0,225,0.0,ELECTRON MICROSCOPY,,2022-08-10,2022,test_new_234
7UQC:H,0,alpaca,H,7.600000000000003e-57,182.3,0,115,,,0.0,,0.0,218,2.65,X-RAY DIFFRACTION,0.176,2023-10-25,2023,test_new_234
7UR6:H,0,human,H,4.9e-45,143.9,0,129,,,0.0,,0.0,130,0.0,ELECTRON MICROSCOPY,,2023-04-26,2023,test_new_234
7URA:H,0,mouse,H,1.2e-56,181.3,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7URC:H,0,mouse,H,1.2e-56,181.3,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7URD:H,0,mouse,H,1.2e-56,181.3,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7URE:H,0,mouse,H,1.2e-56,181.3,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7URF:H,0,mouse,H,2.3e-48,154.5,0,112,,,0.0,,0.0,113,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7URQ:H,0,alpaca,H,6.1e-64,205.2,0,117,,,0.0,,0.0,214,2.05,X-RAY DIFFRACTION,0.177,2022-04-22,2022,test_new_234
7URS:H,0,alpaca,H,1.8e-63,203.7,0,116,,,0.0,,0.0,212,2.4,X-RAY DIFFRACTION,0.179,2022-04-22,2022,test_new_234
7URX:H,0,mouse,H,3.9e-58,186.1,0,121,,,0.0,,0.0,222,0.0,ELECTRON MICROSCOPY,,2023-02-15,2023,test_new_234
7USL:H,0,mouse,H,1.3e-53,171.5,0,113,,,0.0,,0.0,114,0.0,ELECTRON MICROSCOPY,,2022-08-17,2022,test_new_234
7UT3:H,0,mouse,H,9.499999999999999e-53,168.7,0,116,,,0.0,,0.0,217,3.0,X-RAY DIFFRACTION,0.186,2022-09-21,2022,test_new_234
7UVF:H,0,human,H,8.6e-56,178.7,0,117,,,0.0,,0.0,210,2.6,X-RAY DIFFRACTION,0.198,2022-10-12,2022,test_new_234
7UVH:H,0,alpaca,H,5.6e-60,192.4,0,121,,,0.0,,0.0,222,2.59,X-RAY DIFFRACTION,0.196,2023-02-15,2023,test_new_234
7UVI:H,0,alpaca,H,9.6e-60,191.6,0,123,,,0.0,,0.0,225,2.92,X-RAY DIFFRACTION,0.218,2023-02-15,2023,test_new_234
7UVO:H,0,alpaca,H,8.5e-58,185.3,0,119,,,0.0,,0.0,223,2.09,X-RAY DIFFRACTION,0.217,2023-02-15,2023,test_new_234
7UVS:H,0,human,H,9e-51,162.5,0,122,,,0.0,,0.0,226,2.06,X-RAY DIFFRACTION,0.174,2023-02-15,2023,test_new_234
7UXL:H,0,human,H,5.899999999999999e-53,169.5,0,126,,,0.0,,0.0,229,2.86,X-RAY DIFFRACTION,0.183,2023-02-15,2023,test_new_234
7UYL:H,0,alpaca,H,7.899999999999999e-62,198.4,0,122,,,0.0,,0.0,226,2.0,X-RAY DIFFRACTION,0.174,2022-11-23,2022,test_new_234
7UYM:H,0,alpaca,H,7.7e-62,198.4,0,122,,,0.0,,0.0,224,2.2,X-RAY DIFFRACTION,0.169,2022-11-23,2022,test_new_234
7UZ4:H,0,mouse,H,2.2e-56,180.4,0,119,,,0.0,,0.0,120,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7UZ5:H,0,mouse,H,6e-57,182.3,0,119,,,0.0,,0.0,120,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7UZ6:H,0,mouse,H,1.1e-55,178.2,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7UZ7:H,0,mouse,H,5.0999999999999995e-53,169.6,0,115,,,0.0,,0.0,116,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7UZ8:H,0,mouse,H,5.0999999999999995e-53,169.6,0,115,,,0.0,,0.0,116,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7UZ9:H,0,mouse,H,7.900000000000001e-58,185.1,0,121,,,0.0,,0.0,122,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7UZA:H,0,mouse,H,2.3000000000000002e-58,186.9,0,121,,,0.0,,0.0,122,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7UZB:H,0,mouse,H,1.1999999999999998e-53,171.6,0,117,,,0.0,,0.0,220,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7UZC:H,0,mouse,H,1.3000000000000002e-57,184.4,0,122,,,0.0,,0.0,225,2.2,X-RAY DIFFRACTION,0.172,2023-01-11,2023,test_new_234
7UZD:H,0,mouse,H,1.1999999999999998e-53,171.6,0,117,,,0.0,,0.0,220,3.0,X-RAY DIFFRACTION,0.231,2023-01-11,2023,test_new_234
7V23:H,0,alpaca,H,2.9e-59,190.1,0,123,,,0.0,,0.0,124,0.0,ELECTRON MICROSCOPY,,2022-08-10,2022,test_new_234
7V24:H,0,alpaca,H,2.9e-59,190.1,0,123,,,0.0,,0.0,124,0.0,ELECTRON MICROSCOPY,,2022-08-10,2022,test_new_234
7V27:H,0,human,H,2.9e-51,164.1,0,119,,,0.0,,0.0,120,0.0,ELECTRON MICROSCOPY,,2022-08-10,2022,test_new_234
7V3Q:H,0,mouse,H,2.3e-48,154.5,0,115,,,0.0,,0.0,216,2.98,X-RAY DIFFRACTION,0.218,2022-08-17,2022,test_new_234
7V4W:H,0,mouse,H,2.1000000000000002e-48,154.7,0,115,,,0.0,,0.0,209,2.1,X-RAY DIFFRACTION,0.18,2022-08-17,2022,test_new_234
7V5J:H,0,human,H,3.3e-54,173.6,0,122,,,0.0,,0.0,222,2.8,ELECTRON MICROSCOPY,,2022-09-21,2022,test_new_234
7V5K:H,0,human,H,3.3e-54,173.6,0,122,,,0.0,,0.0,222,2.8,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7V64:H,0,mouse,H,2.2e-48,154.6,0,115,,,0.0,,0.0,212,1.56,X-RAY DIFFRACTION,0.179,2022-08-24,2022,test_new_234
7V7K:H,0,mouse,H,2.3e-48,154.5,0,115,,,0.0,,0.0,216,2.2,X-RAY DIFFRACTION,0.201,2022-08-24,2022,test_new_234
7VAZ:H,0,alpaca,H,9.4e-51,162.6,0,115,,,0.0,,0.0,212,2.73,X-RAY DIFFRACTION,0.209,2022-08-31,2022,test_new_234
7VEN:H,0,human,H,1.3000000000000002e-57,184.6,0,116,,,0.0,,0.0,214,1.45,X-RAY DIFFRACTION,0.169,2022-09-14,2022,test_new_234
7VGR:H,0,mouse,H,3e-57,183.3,0,119,,,0.0,,0.0,220,0.0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7VGS:H,0,mouse,H,6.599999999999999e-53,169.2,0,112,,,0.0,,0.0,213,0.0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7VMZ:H,0,pig,H,1.5e-59,191.0,0,122,,,0.0,,0.0,223,2.85,X-RAY DIFFRACTION,0.248,2022-10-12,2022,test_new_234
7VTJ:H,0,mouse,H,2.8e-56,180.1,0,118,,,0.0,,0.0,219,2.0,X-RAY DIFFRACTION,0.196,2022-11-02,2022,test_new_234
7WBH:H,0,human,H,1.6e-56,181.0,0,117,,,0.0,,0.0,118,0.0,ELECTRON MICROSCOPY,,2022-10-26,2022,test_new_234
7WBZ:H,0,alpaca,H,4.2e-63,202.5,0,116,,,0.0,,0.0,216,2.42,X-RAY DIFFRACTION,0.182,2022-08-31,2022,test_new_234
7WC0:H,0,human,H,7.1e-56,179.0,0,125,,,0.0,,0.0,206,2.705,X-RAY DIFFRACTION,0.202,2022-08-10,2022,test_new_234
7WCD:H,0,human,H,7.8999999999999985e-56,178.8,0,125,,,0.0,,0.0,214,0.0,ELECTRON MICROSCOPY,,2022-08-10,2022,test_new_234
7WCK:H,0,human,H,5.7e-50,159.9,0,120,,,0.0,,0.0,121,0.0,ELECTRON MICROSCOPY,,2022-12-28,2022,test_new_234
7WCP:H,0,alpaca,H,4.499999999999999e-62,199.2,0,116,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-12-28,2022,test_new_234
7WCU:H,0,alpaca,H,4.499999999999999e-62,199.2,0,116,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-12-28,2022,test_new_234
7WG3:H,0,mouse,H,1.1999999999999999e-54,174.8,0,116,,,0.0,,0.0,220,2.19,X-RAY DIFFRACTION,0.193,2022-11-09,2022,test_new_234
7WH8:H,0,human,H,1.4e-53,171.5,0,120,,,0.0,,0.0,224,0.0,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7WHB:H,0,human,H,1.4e-53,171.5,0,120,,,0.0,,0.0,224,0.0,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7WHD:H,0,human,H,1.4e-53,171.5,0,120,,,0.0,,0.0,224,0.0,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7WJY:H,0,alpaca,H,1.9e-61,197.1,0,125,,,0.0,,0.0,226,0.0,ELECTRON MICROSCOPY,,2022-07-13,2022,test_new_234
7WJZ:H,0,alpaca,H,1.9e-61,197.1,0,125,,,0.0,,0.0,226,0.0,ELECTRON MICROSCOPY,,2022-07-13,2022,test_new_234
7WK0:H,0,alpaca,H,1.9e-61,197.1,0,125,,,0.0,,0.0,226,0.0,ELECTRON MICROSCOPY,,2022-07-13,2022,test_new_234
7WKX:H,0,mouse,H,2.6e-51,164.1,0,116,,,0.0,,0.0,217,2.81,X-RAY DIFFRACTION,0.206,2022-01-12,2022,test_new_234
7WLW:H,0,alpaca,H,5.7e-56,179.4,0,118,,,0.0,,0.0,219,2.9,X-RAY DIFFRACTION,0.235,2022-01-13,2022,test_new_234
7WLZ:H,0,alpaca,H,2e-59,190.6,0,126,,,0.0,,0.0,127,2.98,ELECTRON MICROSCOPY,,2022-01-14,2022,test_new_234
7WN2:H,0,alpaca,H,1.1999999999999999e-61,197.8,0,121,,,0.0,,0.0,218,2.35,X-RAY DIFFRACTION,0.228,2023-04-19,2023,test_new_234
7WN8:H,0,human,H,2.8e-57,183.5,0,115,,,0.0,,0.0,207,2.8,X-RAY DIFFRACTION,0.243,2023-01-25,2023,test_new_234
7WNB:H,0,alpaca,H,8.900000000000001e-64,204.7,0,116,,,0.0,,0.0,213,2.18,X-RAY DIFFRACTION,0.245,2023-04-19,2023,test_new_234
7WO4:H,0,alpaca,H,5.9e-63,202.0,0,118,,,0.0,,0.0,225,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WO5:H,0,alpaca,H,5.9e-63,202.0,0,118,,,0.0,,0.0,225,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WO7:H,0,alpaca,H,5.9e-63,202.0,0,118,,,0.0,,0.0,225,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WOA:H,0,human,H,8.5e-54,172.3,0,119,,,0.0,,0.0,204,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WOB:H,0,human,H,8.5e-54,172.3,0,119,,,0.0,,0.0,204,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WOC:H,0,human,H,8.5e-54,172.3,0,119,,,0.0,,0.0,204,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WOG:H,0,alpaca,H,7.9e-67,214.5,0,121,,,0.0,,0.0,124,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WP0:H,0,alpaca,H,7.2e-58,185.6,0,130,,,0.0,,0.0,131,0.0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WPE:H,0,human,H,2.4e-55,177.3,0,122,,,0.0,,0.0,225,2.69,ELECTRON MICROSCOPY,,2022-01-23,2022,test_new_234
7WPF:H,0,human,H,2.4e-55,177.3,0,122,,,0.0,,0.0,225,2.92,ELECTRON MICROSCOPY,,2022-01-23,2022,test_new_234
7WPH:H,0,human,H,2.8e-54,173.8,0,120,,,0.0,,0.0,210,2.89,X-RAY DIFFRACTION,0.229,2022-01-23,2022,test_new_234
7WPV:H,0,human,H,1.2e-52,168.6,0,127,,,0.0,,0.0,229,2.46,X-RAY DIFFRACTION,0.21,2022-01-24,2022,test_new_234
7WR8:H,0,human,H,2.1999999999999997e-47,151.5,0,125,,,0.0,,0.0,126,0.0,ELECTRON MICROSCOPY,,2022-01-26,2022,test_new_234
7WR9:H,0,human,H,3e-48,154.3,0,126,,,0.0,,0.0,127,0.0,ELECTRON MICROSCOPY,,2023-02-01,2023,test_new_234
7WRJ:H,0,human,H,5.7e-48,153.4,0,124,,,0.0,,0.0,125,0.0,ELECTRON MICROSCOPY,,2022-09-28,2022,test_new_234
7WRL:H,0,human,H,1.6000000000000002e-48,155.2,0,126,,,0.0,,0.0,127,0.0,ELECTRON MICROSCOPY,,2022-01-27,2022,test_new_234
7WRO:H,0,alpaca,H,1.5e-57,184.6,0,117,,,0.0,,0.0,118,0.0,ELECTRON MICROSCOPY,,2022-01-27,2022,test_new_234
7WRV:H,0,human,H,1.3e-55,178.1,0,121,,,0.0,,0.0,122,2.47,ELECTRON MICROSCOPY,,2022-01-27,2022,test_new_234
7WRY:H,0,human,H,4.1e-54,173.3,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-09-28,2022,test_new_234
7WRZ:H,0,human,H,4.2e-53,170.0,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-01-28,2022,test_new_234
7WSC:H,0,alpaca,H,9.200000000000001e-59,188.5,0,126,,,0.0,,0.0,127,0.0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7WSL:H,0,alpaca,H,1.8e-62,200.5,0,115,,,0.0,,0.0,209,1.534,X-RAY DIFFRACTION,0.161,2022-08-24,2022,test_new_234
7WTF:H,0,human,H,2.3e-49,158.0,0,119,,,0.0,,0.0,120,0.0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTG:H,0,human,H,2.3e-49,158.0,0,119,,,0.0,,0.0,120,0.0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTH:H,0,human,H,6.1999999999999985e-49,156.5,0,117,,,0.0,,0.0,118,0.0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTI:H,0,human,H,6.1999999999999985e-49,156.5,0,117,,,0.0,,0.0,118,0.0,ELECTRON MICROSCOPY,,2022-12-21,2022,test_new_234
7WTJ:H,0,human,H,4.1e-55,176.5,0,117,,,0.0,,0.0,118,0.0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTK:H,0,human,H,4.1e-55,176.5,0,117,,,0.0,,0.0,118,0.0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WUR:H,0,alpaca,H,5.3999999999999995e-62,198.9,0,117,,,0.0,,0.0,118,0.0,ELECTRON MICROSCOPY,,2022-12-21,2022,test_new_234
7WVG:H,0,alpaca,H,5.200000000000003e-60,192.5,0,123,,,0.0,,0.0,124,2.6,X-RAY DIFFRACTION,0.212,2023-01-18,2023,test_new_234
7WVI:H,0,alpaca,H,9.500000000000001e-60,191.6,0,124,,,0.0,,0.0,226,2.48,X-RAY DIFFRACTION,0.195,2023-01-18,2023,test_new_234
7WVL:H,0,mouse,H,4.9999999999999996e-54,172.8,0,112,,,0.0,,0.0,212,3.0,X-RAY DIFFRACTION,0.233,2022-12-07,2022,test_new_234
7WWI:H,0,human,H,7.9e-54,172.4,0,120,,,0.0,,0.0,121,0.0,ELECTRON MICROSCOPY,,2023-02-15,2023,test_new_234
7WWJ:H,0,human,H,7.9e-54,172.4,0,120,,,0.0,,0.0,121,0.0,ELECTRON MICROSCOPY,,2023-02-15,2023,test_new_234
7WWK:H,0,human,H,7.9e-54,172.4,0,120,,,0.0,,0.0,121,0.0,ELECTRON MICROSCOPY,,2023-02-15,2023,test_new_234
7WWL:H,0,alpaca,H,1.9e-60,193.9,0,122,,,0.0,,0.0,123,3.0,ELECTRON MICROSCOPY,,2022-02-13,2022,test_new_234
7WWM:H,0,alpaca,H,1.4e-60,194.4,0,119,,,0.0,,0.0,120,2.8,ELECTRON MICROSCOPY,,2022-02-13,2022,test_new_234
7X08:H,0,alpaca,H,6.1e-53,169.6,1,111,,,0.0,,0.0,214,2.7,ELECTRON MICROSCOPY,,2022-03-09,2022,test_new_234
7X1M:H,0,alpaca,H,5.2e-59,189.3,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-07-06,2022,test_new_234
7X25:H,0,human,H,9.4e-53,168.9,0,119,,,0.0,,0.0,215,2.49,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7X28:H,0,human,H,1e-52,168.8,0,119,,,0.0,,0.0,221,2.49,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7X29:H,0,human,H,1e-52,168.8,0,119,,,0.0,,0.0,221,2.49,ELECTRON MICROSCOPY,,2022-11-09,2022,test_new_234
7X2A:H,0,human,H,1e-52,168.8,0,119,,,0.0,,0.0,221,2.49,ELECTRON MICROSCOPY,,2022-11-09,2022,test_new_234
7X2H:H,0,alpaca,H,1.7e-62,200.5,0,121,,,0.0,,0.0,217,2.1,X-RAY DIFFRACTION,0.228,2023-03-01,2023,test_new_234
7X2K:H,0,alpaca,H,2.4e-62,200.1,0,115,,,0.0,,0.0,210,2.4,X-RAY DIFFRACTION,0.195,2022-12-21,2022,test_new_234
7X3N:H,0,rhesus,H,3e-57,183.4,0,113,,,0.0,,0.0,210,2.24,X-RAY DIFFRACTION,0.205,2023-03-01,2023,test_new_234
7X63:H,0,alpaca,H,2.1e-61,197.0,0,117,,,0.0,,0.0,215,2.24,X-RAY DIFFRACTION,0.193,2023-03-08,2023,test_new_234
7X66:H,0,alpaca,H,2.1e-61,197.0,0,117,,,0.0,,0.0,215,2.4,X-RAY DIFFRACTION,0.19,2023-03-08,2023,test_new_234
7X6A:H,0,human,H,4.2e-53,170.0,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-07-13,2022,test_new_234
7X7T:H,0,mouse,H,8.9e-52,165.6,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-08-17,2022,test_new_234
7X8P:H,0,alpaca,H,1.2e-57,184.8,0,125,,,0.0,,0.0,227,2.24,X-RAY DIFFRACTION,0.216,2023-02-01,2023,test_new_234
7X8Q:H,0,alpaca,H,6.200000000000001e-58,185.8,0,119,,,0.0,,0.0,215,2.65,X-RAY DIFFRACTION,0.205,2023-01-18,2023,test_new_234
7X8T:H,0,alpaca,H,1.3000000000000002e-57,184.7,0,125,,,0.0,,0.0,219,2.51,X-RAY DIFFRACTION,0.176,2023-02-01,2023,test_new_234
7X8W:H,0,human,H,7.2999999999999995e-56,178.9,0,121,,,0.0,,0.0,124,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X8Y:H,0,alpaca,H,5.100000000000001e-59,189.3,0,124,,,0.0,,0.0,125,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X8Z:H,0,alpaca,H,1.6e-61,197.4,0,119,,,0.0,,0.0,120,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X90:H,0,alpaca,H,1.3999999999999999e-61,197.5,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X91:H,0,human,H,1.5e-50,161.8,0,119,,,0.0,,0.0,120,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X92:H,0,alpaca,H,1.9e-60,193.9,0,124,,,0.0,,0.0,125,0.0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X93:H,0,alpaca,H,2.8e-60,193.4,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2023-03-22,2023,test_new_234
7X94:H,0,human,H,9.8e-53,168.8,0,126,,,0.0,,0.0,127,0.0,ELECTRON MICROSCOPY,,2023-03-22,2023,test_new_234
7X95:H,0,alpaca,H,1.1e-56,181.8,0,122,,,0.0,,0.0,123,0.0,ELECTRON MICROSCOPY,,2023-03-22,2023,test_new_234
7X96:H,0,human,H,3.1999999999999998e-55,176.9,0,119,,,0.0,,0.0,120,0.0,ELECTRON MICROSCOPY,,2023-03-22,2023,test_new_234
7X9E:H,0,alpaca,H,4.8e-51,163.5,0,117,,,0.0,,0.0,211,2.6,X-RAY DIFFRACTION,0.195,2022-03-15,2022,test_new_234
7XCK:H,0,human,H,1.4e-53,171.6,0,126,,,0.0,,0.0,223,0.0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
7XCO:H,0,human,H,1.4e-53,171.6,0,126,,,0.0,,0.0,223,0.0,ELECTRON MICROSCOPY,,2022-09-21,2022,test_new_234
7XCP:H,0,alpaca,H,1.6e-58,187.7,0,117,,,0.0,,0.0,118,0.0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
7XCZ:H,0,human,H,1.4999999999999999e-53,171.4,0,113,,,0.0,,0.0,220,0.0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7XDA:H,0,human,H,1.4999999999999999e-53,171.4,0,113,,,0.0,,0.0,220,0.0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7XDB:H,0,human,H,1.9e-54,174.3,0,117,,,0.0,,0.0,118,0.0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7XDK:H,0,human,H,1.4e-53,171.5,0,113,,,0.0,,0.0,214,0.0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7XEG:H,0,alpaca,H,4.8e-62,199.1,0,118,,,0.0,,0.0,218,2.69,X-RAY DIFFRACTION,0.195,2023-05-31,2023,test_new_234
7XEI:H,0,alpaca,H,4.6e-62,199.1,0,118,,,0.0,,0.0,216,2.76,X-RAY DIFFRACTION,0.215,2023-05-31,2023,test_new_234
7XH8:H,0,human,H,8e-52,165.9,0,121,,,0.0,,0.0,122,2.99,ELECTRON MICROSCOPY,,2022-04-07,2022,test_new_234
7XIK:H,0,alpaca,H,8.799999999999999e-62,198.2,0,114,,,0.0,,0.0,217,2.89,X-RAY DIFFRACTION,0.211,2023-04-26,2023,test_new_234
7XIL:H,0,alpaca,H,8.3e-62,198.3,0,114,,,0.0,,0.0,212,2.91,X-RAY DIFFRACTION,0.206,2023-04-26,2023,test_new_234
7XJ6:H,0,human,H,5.2e-54,172.9,0,122,,,0.0,,0.0,123,0.0,ELECTRON MICROSCOPY,,2023-04-19,2023,test_new_234
7XJ8:H,0,human,H,7.9e-54,172.4,0,120,,,0.0,,0.0,121,0.0,ELECTRON MICROSCOPY,,2023-04-19,2023,test_new_234
7XJ9:H,0,human,H,7.9e-54,172.4,0,120,,,0.0,,0.0,121,0.0,ELECTRON MICROSCOPY,,2023-04-19,2023,test_new_234
7XJF:H,0,mouse,H,2.499999999999999e-55,177.1,0,123,,,0.0,,0.0,226,2.6,X-RAY DIFFRACTION,0.187,2023-05-31,2023,test_new_234
7XNF:H,0,alpaca,H,7.699999999999999e-63,201.6,0,116,,,0.0,,0.0,213,2.79,X-RAY DIFFRACTION,0.32,2023-01-11,2023,test_new_234
7XQ8:H,0,human,H,2.3999999999999997e-41,132.0,0,120,,,0.0,,0.0,595,0.0,ELECTRON MICROSCOPY,,2022-08-17,2022,test_new_234
7XRZ:H,0,mouse,H,9e-58,184.9,0,118,,,0.0,,0.0,218,2.1,X-RAY DIFFRACTION,0.214,2023-05-10,2023,test_new_234
7XS8:H,0,alpaca,H,3.1e-61,196.5,0,115,,,0.0,,0.0,210,2.8,X-RAY DIFFRACTION,0.216,2023-04-26,2023,test_new_234
7XSA:H,0,human,H,2.2e-52,167.7,0,117,,,0.0,,0.0,215,2.2,X-RAY DIFFRACTION,0.231,2023-05-10,2023,test_new_234
7XSC:H,0,alpaca,H,5.900000000000003e-60,192.3,0,113,,,0.0,,0.0,206,2.88,X-RAY DIFFRACTION,0.2,2023-05-24,2023,test_new_234
7XW6:H,0,human,H,1e-51,165.5,0,119,,,0.0,,0.0,120,2.78,ELECTRON MICROSCOPY,,2022-08-17,2022,test_new_234
7XW7:H,0,human,H,3.1e-52,167.2,0,117,,,0.0,,0.0,118,0.0,ELECTRON MICROSCOPY,,2022-08-17,2022,test_new_234
7XXL:H,0,human,H,1.2e-52,168.6,0,127,,,0.0,,0.0,229,0.0,ELECTRON MICROSCOPY,,2022-09-14,2022,test_new_234
7XY8:H,0,human,H,6.100000000000001e-57,182.4,0,116,,,0.0,,0.0,218,2.3,X-RAY DIFFRACTION,0.236,2022-11-23,2022,test_new_234
7Y0C:H,0,human,H,2.9e-52,167.3,0,117,,,0.0,,0.0,218,2.94,X-RAY DIFFRACTION,0.202,2022-09-28,2022,test_new_234
7Y0G:H,0,rhesus,H,3.1000000000000003e-57,183.4,0,113,,,0.0,,0.0,211,2.08,X-RAY DIFFRACTION,0.211,2022-08-10,2022,test_new_234
7Y0V:H,0,human,H,1.4e-49,158.6,0,125,,,0.0,,0.0,223,2.48,X-RAY DIFFRACTION,0.211,2022-09-28,2022,test_new_234
7Y3J:H,0,mouse,H,1.7e-55,177.6,0,117,,,0.0,,0.0,219,2.6,X-RAY DIFFRACTION,0.222,2022-08-17,2022,test_new_234
7Y3N:H,0,alpaca,H,8.7e-61,195.0,0,123,,,0.0,,0.0,223,2.97,X-RAY DIFFRACTION,0.22,2023-12-27,2023,test_new_234
7Y3O:H,0,alpaca,H,9e-61,195.0,0,123,,,0.0,,0.0,226,2.1,X-RAY DIFFRACTION,0.183,2023-12-27,2023,test_new_234
7Y8J:H,0,human,H,6.8e-56,179.0,0,118,,,0.0,,0.0,121,1.03,X-RAY DIFFRACTION,0.134,2023-07-12,2023,test_new_234
7YAD:H,0,human,H,4.4e-52,166.7,0,123,,,0.0,,0.0,124,2.66,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
7YAR:H,0,alpaca,H,9.6e-55,175.5,0,127,,,0.0,,0.0,231,0.0,ELECTRON MICROSCOPY,,2023-01-04,2023,test_new_234
7YCK:H,0,alpaca,H,1.1e-63,204.4,0,119,,,0.0,,0.0,120,2.6,X-RAY DIFFRACTION,0.229,2023-02-01,2023,test_new_234
7YCL:H,0,human,H,1.7e-54,174.5,0,121,,,0.0,,0.0,220,2.13,X-RAY DIFFRACTION,0.174,2023-02-01,2023,test_new_234
7YCN:H,0,human,H,1.6999999999999998e-53,171.3,0,120,,,0.0,,0.0,219,2.85,X-RAY DIFFRACTION,0.211,2023-02-01,2023,test_new_234
7YD1:H,0,human,H,3.1e-51,164.0,0,119,,,0.0,,0.0,122,2.99,ELECTRON MICROSCOPY,,2023-07-12,2023,test_new_234
7YD3:H,0,human,H,7e-56,179.0,0,118,,,0.0,,0.0,119,2.16,X-RAY DIFFRACTION,0.217,2023-07-05,2023,test_new_234
