,domain_no,hmm_species,chain_type,e-value,score,seqstart_index,seqend_index,identity_species,v_gene,v_identity,j_gene,j_identity,unaligned_len,resolution,method,r_factor,date,year,dataset
7WCU:H,0,alpaca,H,4.499999999999999e-62,199.2,0,116,,,0.0,,0.0,119,0,ELECTRON MICROSCOPY,,2022-12-28,2022,test_new_234
7WCU:L,0,human,K,4.2999999999999994e-55,176.2,0,107,,,0.0,,0.0,109,0,ELECTRON MICROSCOPY,,2022-12-28,2022,test_new_234
7WG3:H,0,mouse,H,1.1999999999999999e-54,174.8,0,116,,,0.0,,0.0,220,2.19,X-RAY DIFFRACTION,0.193,2022-11-09,2022,test_new_234
7WG3:L,0,mouse,K,7.099999999999999e-53,169.2,0,106,,,0.0,,0.0,213,2.19,X-RAY DIFFRACTION,0.193,2022-11-09,2022,test_new_234
7WH8:H,0,human,H,1.4e-53,171.5,0,120,,,0.0,,0.0,224,0,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7WH8:L,0,human,K,4.5e-55,176.1,0,107,,,0.0,,0.0,214,0,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7WHB:H,0,human,H,1.4e-53,171.5,0,120,,,0.0,,0.0,224,0,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7WHB:L,0,human,K,4.5e-55,176.1,0,107,,,0.0,,0.0,214,0,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7WHD:H,0,human,H,1.4e-53,171.5,0,120,,,0.0,,0.0,224,0,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7WHD:L,0,human,K,4.5e-55,176.1,0,107,,,0.0,,0.0,214,0,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7WJY:H,0,alpaca,H,1.9e-61,197.1,0,125,,,0.0,,0.0,226,0,ELECTRON MICROSCOPY,,2022-07-13,2022,test_new_234
7WJY:L,0,human,L,5.2e-50,160.0,0,107,,,0.0,,0.0,210,0,ELECTRON MICROSCOPY,,2022-07-13,2022,test_new_234
7WJZ:H,0,alpaca,H,1.9e-61,197.1,0,125,,,0.0,,0.0,226,0,ELECTRON MICROSCOPY,,2022-07-13,2022,test_new_234
7WJZ:L,0,human,L,5.2e-50,160.0,0,107,,,0.0,,0.0,210,0,ELECTRON MICROSCOPY,,2022-07-13,2022,test_new_234
7WK0:H,0,alpaca,H,1.9e-61,197.1,0,125,,,0.0,,0.0,226,0,ELECTRON MICROSCOPY,,2022-07-13,2022,test_new_234
7WK0:L,0,human,L,5.2e-50,160.0,0,107,,,0.0,,0.0,210,0,ELECTRON MICROSCOPY,,2022-07-13,2022,test_new_234
7WKX:H,0,mouse,H,2.6e-51,164.1,0,116,,,0.0,,0.0,217,2.81,X-RAY DIFFRACTION,0.206,2022-01-12,2022,test_new_234
7WKX:L,0,human,K,1.1999999999999999e-54,174.8,0,112,,,0.0,,0.0,218,2.81,X-RAY DIFFRACTION,0.206,2022-01-12,2022,test_new_234
7WLW:H,0,alpaca,H,5.7e-56,179.4,0,118,,,0.0,,0.0,219,2.9,X-RAY DIFFRACTION,0.235,2022-01-13,2022,test_new_234
7WLW:L,0,mouse,K,1.0999999999999999e-53,171.8,0,108,,,0.0,,0.0,214,2.9,X-RAY DIFFRACTION,0.235,2022-01-13,2022,test_new_234
7WLZ:H,0,alpaca,H,2e-59,190.6,0,126,,,0.0,,0.0,127,2.98,ELECTRON MICROSCOPY,,2022-01-14,2022,test_new_234
7WLZ:L,0,rhesus,K,1.3000000000000002e-57,184.6,0,110,,,0.0,,0.0,111,2.98,ELECTRON MICROSCOPY,,2022-01-14,2022,test_new_234
7WN2:H,0,alpaca,H,1.2e-61,197.8,0,121,,,0.0,,0.0,218,2.35,X-RAY DIFFRACTION,0.228,2023-04-19,2023,test_new_234
7WN2:L,0,human,K,4.200000000000001e-57,182.7,0,107,,,0.0,,0.0,213,2.35,X-RAY DIFFRACTION,0.228,2023-04-19,2023,test_new_234
7WN8:H,0,human,H,2.8e-57,183.5,0,115,,,0.0,,0.0,207,2.8,X-RAY DIFFRACTION,0.243,2023-01-25,2023,test_new_234
7WN8:L,0,rhesus,K,1.1e-57,184.7,0,108,,,0.0,,0.0,214,2.8,X-RAY DIFFRACTION,0.243,2023-01-25,2023,test_new_234
7WNB:H,0,alpaca,H,8.900000000000001e-64,204.7,0,116,,,0.0,,0.0,213,2.18,X-RAY DIFFRACTION,0.245,2023-04-19,2023,test_new_234
7WNB:L,0,human,K,6.8e-57,182.0,0,108,,,0.0,,0.0,214,2.18,X-RAY DIFFRACTION,0.245,2023-04-19,2023,test_new_234
7WO4:H,0,alpaca,H,5.9e-63,202.0,0,118,,,0.0,,0.0,225,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WO4:L,0,human,L,1.4e-52,168.3,0,111,,,0.0,,0.0,215,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WO5:H,0,alpaca,H,5.9e-63,202.0,0,118,,,0.0,,0.0,225,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WO5:L,0,human,L,1.4e-52,168.3,0,111,,,0.0,,0.0,215,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WO7:H,0,alpaca,H,5.9e-63,202.0,0,118,,,0.0,,0.0,225,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WO7:L,0,human,L,1.4e-52,168.3,0,111,,,0.0,,0.0,215,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WOA:H,0,human,H,8.5e-54,172.3,0,119,,,0.0,,0.0,204,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WOA:L,0,human,K,6.2e-54,172.5,0,108,,,0.0,,0.0,212,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WOB:H,0,human,H,8.5e-54,172.3,0,119,,,0.0,,0.0,204,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WOB:L,0,human,K,6.2e-54,172.5,0,108,,,0.0,,0.0,212,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WOC:H,0,human,H,8.5e-54,172.3,0,119,,,0.0,,0.0,204,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WOC:L,0,human,K,6.2e-54,172.5,0,108,,,0.0,,0.0,212,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WOG:H,0,alpaca,H,7.9e-67,214.5,0,121,,,0.0,,0.0,124,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WOG:L,0,human,L,1.3e-53,171.7,0,111,,,0.0,,0.0,112,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WP0:H,0,alpaca,H,7.2e-58,185.6,0,130,,,0.0,,0.0,131,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WP0:L,0,rhesus,L,7.9999999999999985e-56,178.8,0,110,,,0.0,,0.0,111,0,ELECTRON MICROSCOPY,,2022-07-20,2022,test_new_234
7WPE:H,0,human,H,2.4e-55,177.3,0,122,,,0.0,,0.0,225,2.69,ELECTRON MICROSCOPY,,2022-01-23,2022,test_new_234
7WPE:L,0,human,K,1.8e-58,187.1,0,107,,,0.0,,0.0,213,2.69,ELECTRON MICROSCOPY,,2022-01-23,2022,test_new_234
7WPF:H,0,human,H,2.4e-55,177.3,0,122,,,0.0,,0.0,225,2.92,ELECTRON MICROSCOPY,,2022-01-23,2022,test_new_234
7WPF:L,0,human,K,1.8e-58,187.1,0,107,,,0.0,,0.0,213,2.92,ELECTRON MICROSCOPY,,2022-01-23,2022,test_new_234
7WPH:H,0,human,H,2.8e-54,173.8,0,120,,,0.0,,0.0,210,2.89,X-RAY DIFFRACTION,0.229,2022-01-23,2022,test_new_234
7WPH:L,0,human,L,5.299999999999999e-53,169.7,0,110,,,0.0,,0.0,212,2.89,X-RAY DIFFRACTION,0.229,2022-01-23,2022,test_new_234
7WPV:H,0,human,H,1.2e-52,168.6,0,127,,,0.0,,0.0,229,2.46,X-RAY DIFFRACTION,0.210,2022-01-24,2022,test_new_234
7WPV:L,0,human,L,4.0000000000000005e-49,157.1,0,106,,,0.0,,0.0,209,2.46,X-RAY DIFFRACTION,0.210,2022-01-24,2022,test_new_234
7WR8:H,0,human,H,2.1999999999999997e-47,151.5,0,125,,,0.0,,0.0,126,0,ELECTRON MICROSCOPY,,2022-01-26,2022,test_new_234
7WR8:L,0,human,L,1.5999999999999998e-49,158.4,0,103,,,0.0,,0.0,104,0,ELECTRON MICROSCOPY,,2022-01-26,2022,test_new_234
7WR9:H,0,human,H,3e-48,154.3,0,126,,,0.0,,0.0,127,0,ELECTRON MICROSCOPY,,2023-02-01,2023,test_new_234
7WR9:L,0,human,L,1.5999999999999998e-49,158.4,0,103,,,0.0,,0.0,104,0,ELECTRON MICROSCOPY,,2023-02-01,2023,test_new_234
7WRJ:H,0,human,H,5.7e-48,153.4,0,124,,,0.0,,0.0,125,0,ELECTRON MICROSCOPY,,2022-09-28,2022,test_new_234
7WRJ:L,0,rhesus,L,7.5e-51,162.8,0,105,,,0.0,,0.0,106,0,ELECTRON MICROSCOPY,,2022-09-28,2022,test_new_234
7WRL:H,0,human,H,1.6000000000000002e-48,155.2,0,126,,,0.0,,0.0,127,0,ELECTRON MICROSCOPY,,2022-01-27,2022,test_new_234
7WRL:L,0,rhesus,L,3.6e-47,150.9,0,104,,,0.0,,0.0,105,0,ELECTRON MICROSCOPY,,2022-01-27,2022,test_new_234
7WRO:H,0,alpaca,H,1.5e-57,184.6,0,117,,,0.0,,0.0,118,0,ELECTRON MICROSCOPY,,2022-01-27,2022,test_new_234
7WRO:L,0,rhesus,L,3.5e-51,163.8,0,110,,,0.0,,0.0,111,0,ELECTRON MICROSCOPY,,2022-01-27,2022,test_new_234
7WRV:H,0,human,H,1.3e-55,178.1,0,121,,,0.0,,0.0,122,2.47,ELECTRON MICROSCOPY,,2022-01-27,2022,test_new_234
7WRV:L,0,human,K,3.3e-58,186.3,0,105,,,0.0,,0.0,106,2.47,ELECTRON MICROSCOPY,,2022-01-27,2022,test_new_234
7WRY:H,0,human,H,4.1e-54,173.3,0,118,,,0.0,,0.0,119,0,ELECTRON MICROSCOPY,,2022-09-28,2022,test_new_234
7WRY:L,0,human,K,1.3e-51,164.9,0,105,,,0.0,,0.0,106,0,ELECTRON MICROSCOPY,,2022-09-28,2022,test_new_234
7WRZ:H,0,human,H,4.2e-53,170.0,0,118,,,0.0,,0.0,119,0,ELECTRON MICROSCOPY,,2022-01-28,2022,test_new_234
7WRZ:L,0,human,K,3.6e-54,173.2,0,108,,,0.0,,0.0,109,0,ELECTRON MICROSCOPY,,2022-01-28,2022,test_new_234
7WSC:H,0,alpaca,H,9.200000000000001e-59,188.5,0,126,,,0.0,,0.0,127,0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7WSC:L,0,pig,K,7.299999999999999e-55,175.5,0,107,,,0.0,,0.0,108,0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7WSL:H,0,alpaca,H,1.8e-62,200.5,0,115,,,0.0,,0.0,209,1.534,X-RAY DIFFRACTION,0.161,2022-08-24,2022,test_new_234
7WSL:L,0,human,K,9.3e-55,175.1,0,107,,,0.0,,0.0,212,1.534,X-RAY DIFFRACTION,0.161,2022-08-24,2022,test_new_234
7WTF:H,0,human,H,2.3e-49,158.0,0,119,,,0.0,,0.0,120,0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTF:L,0,human,K,1.1e-54,174.9,0,103,,,0.0,,0.0,104,0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTG:H,0,human,H,2.3e-49,158.0,0,119,,,0.0,,0.0,120,0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTG:L,0,human,K,1.1e-54,174.9,0,103,,,0.0,,0.0,104,0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTH:H,0,human,H,6.1999999999999985e-49,156.5,0,117,,,0.0,,0.0,118,0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTH:L,0,rhesus,L,3.3999999999999997e-49,157.4,0,105,,,0.0,,0.0,106,0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTI:H,0,human,H,6.1999999999999985e-49,156.5,0,117,,,0.0,,0.0,118,0,ELECTRON MICROSCOPY,,2022-12-21,2022,test_new_234
7WTI:L,0,rhesus,L,1.3e-51,165.2,0,109,,,0.0,,0.0,111,0,ELECTRON MICROSCOPY,,2022-12-21,2022,test_new_234
7WTJ:H,0,human,H,4.1e-55,176.5,0,117,,,0.0,,0.0,118,0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTJ:L,0,rhesus,L,3.099999999999999e-53,170.5,0,108,,,0.0,,0.0,109,0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTK:H,0,human,H,4.1e-55,176.5,0,117,,,0.0,,0.0,118,0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WTK:L,0,rhesus,L,3.099999999999999e-53,170.5,0,108,,,0.0,,0.0,109,0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
7WUR:H,0,alpaca,H,5.3999999999999995e-62,198.9,0,117,,,0.0,,0.0,118,0,ELECTRON MICROSCOPY,,2022-12-21,2022,test_new_234
7WUR:L,0,rhesus,K,4.5e-58,186.0,0,107,,,0.0,,0.0,108,0,ELECTRON MICROSCOPY,,2022-12-21,2022,test_new_234
7WVG:H,0,alpaca,H,5.200000000000003e-60,192.5,0,123,,,0.0,,0.0,124,2.6,X-RAY DIFFRACTION,0.212,2023-01-18,2023,test_new_234
7WVG:L,0,human,K,3.5e-56,179.7,0,106,,,0.0,,0.0,107,2.6,X-RAY DIFFRACTION,0.212,2023-01-18,2023,test_new_234
7WVI:H,0,alpaca,H,9.500000000000001e-60,191.6,0,124,,,0.0,,0.0,226,2.48,X-RAY DIFFRACTION,0.195,2023-01-18,2023,test_new_234
7WVI:L,0,human,K,2.2999999999999998e-55,177.1,0,107,,,0.0,,0.0,214,2.48,X-RAY DIFFRACTION,0.195,2023-01-18,2023,test_new_234
7WVL:H,0,mouse,H,4.9999999999999996e-54,172.8,0,112,,,0.0,,0.0,212,3,X-RAY DIFFRACTION,0.233,2022-12-07,2022,test_new_234
7WVL:L,0,mouse,K,2.7e-51,164.1,0,111,,,0.0,,0.0,216,3,X-RAY DIFFRACTION,0.233,2022-12-07,2022,test_new_234
7WWI:H,0,human,H,7.9e-54,172.4,0,120,,,0.0,,0.0,121,0,ELECTRON MICROSCOPY,,2023-02-15,2023,test_new_234
7WWI:L,0,human,K,1.8e-59,190.4,0,107,,,0.0,,0.0,108,0,ELECTRON MICROSCOPY,,2023-02-15,2023,test_new_234
7WWJ:H,0,human,H,7.9e-54,172.4,0,120,,,0.0,,0.0,121,0,ELECTRON MICROSCOPY,,2023-02-15,2023,test_new_234
7WWJ:L,0,human,K,1.8e-59,190.4,0,107,,,0.0,,0.0,108,0,ELECTRON MICROSCOPY,,2023-02-15,2023,test_new_234
7WWK:H,0,human,H,7.9e-54,172.4,0,120,,,0.0,,0.0,121,0,ELECTRON MICROSCOPY,,2023-02-15,2023,test_new_234
7WWK:L,0,human,K,1.8e-59,190.4,0,107,,,0.0,,0.0,108,0,ELECTRON MICROSCOPY,,2023-02-15,2023,test_new_234
7WWL:H,0,alpaca,H,1.9e-60,193.9,0,122,,,0.0,,0.0,123,3,ELECTRON MICROSCOPY,,2022-02-13,2022,test_new_234
7WWL:L,0,human,K,3.4e-57,183.0,0,107,,,0.0,,0.0,108,3,ELECTRON MICROSCOPY,,2022-02-13,2022,test_new_234
7WWM:H,0,alpaca,H,1.4e-60,194.4,0,119,,,0.0,,0.0,120,2.8,ELECTRON MICROSCOPY,,2022-02-13,2022,test_new_234
7WWM:L,0,human,K,7.499999999999996e-54,172.2,0,104,,,0.0,,0.0,105,2.8,ELECTRON MICROSCOPY,,2022-02-13,2022,test_new_234
7X08:H,0,alpaca,H,6.1e-53,169.6,1,111,,,0.0,,0.0,214,2.7,ELECTRON MICROSCOPY,,2022-03-09,2022,test_new_234
7X08:L,0,rhesus,L,5.2e-54,173.0,0,108,,,0.0,,0.0,211,2.7,ELECTRON MICROSCOPY,,2022-03-09,2022,test_new_234
7X1M:H,0,alpaca,H,5.2e-59,189.3,0,118,,,0.0,,0.0,119,0,ELECTRON MICROSCOPY,,2022-07-06,2022,test_new_234
7X1M:L,0,human,K,7.4e-60,191.6,0,107,,,0.0,,0.0,108,0,ELECTRON MICROSCOPY,,2022-07-06,2022,test_new_234
7X25:H,0,human,H,9.4e-53,168.9,0,119,,,0.0,,0.0,215,2.49,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7X25:L,0,rhesus,K,1.3e-56,181.3,0,108,,,0.0,,0.0,212,2.49,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7X28:H,0,human,H,1e-52,168.8,0,119,,,0.0,,0.0,221,2.49,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7X28:L,0,rhesus,K,1.3e-56,181.3,0,108,,,0.0,,0.0,212,2.49,ELECTRON MICROSCOPY,,2023-01-18,2023,test_new_234
7X29:H,0,human,H,1e-52,168.8,0,119,,,0.0,,0.0,221,2.49,ELECTRON MICROSCOPY,,2022-11-09,2022,test_new_234
7X29:L,0,rhesus,K,1.3e-56,181.3,0,108,,,0.0,,0.0,212,2.49,ELECTRON MICROSCOPY,,2022-11-09,2022,test_new_234
7X2A:H,0,human,H,1e-52,168.8,0,119,,,0.0,,0.0,221,2.49,ELECTRON MICROSCOPY,,2022-11-09,2022,test_new_234
7X2A:L,0,rhesus,K,1.3e-56,181.3,0,108,,,0.0,,0.0,212,2.49,ELECTRON MICROSCOPY,,2022-11-09,2022,test_new_234
7X2H:H,0,alpaca,H,1.7e-62,200.5,0,121,,,0.0,,0.0,217,2.1,X-RAY DIFFRACTION,0.228,2023-03-01,2023,test_new_234
7X2H:L,0,human,K,3.4e-56,179.8,0,106,,,0.0,,0.0,213,2.1,X-RAY DIFFRACTION,0.228,2023-03-01,2023,test_new_234
7X2K:H,0,alpaca,H,2.4e-62,200.1,0,115,,,0.0,,0.0,210,2.4,X-RAY DIFFRACTION,0.195,2022-12-21,2022,test_new_234
7X2K:L,0,human,K,2.8e-56,180.1,0,107,,,0.0,,0.0,214,2.4,X-RAY DIFFRACTION,0.195,2022-12-21,2022,test_new_234
7X3N:H,0,rhesus,H,3e-57,183.4,0,113,,,0.0,,0.0,210,2.24,X-RAY DIFFRACTION,0.205,2023-03-01,2023,test_new_234
7X3N:L,0,human,K,7.3e-57,181.9,0,107,,,0.0,,0.0,213,2.24,X-RAY DIFFRACTION,0.205,2023-03-01,2023,test_new_234
7X63:H,0,alpaca,H,2.1e-61,197.0,0,117,,,0.0,,0.0,215,2.24,X-RAY DIFFRACTION,0.193,2023-03-08,2023,test_new_234
7X63:L,0,human,K,8e-57,181.8,0,107,,,0.0,,0.0,212,2.24,X-RAY DIFFRACTION,0.193,2023-03-08,2023,test_new_234
7X66:H,0,alpaca,H,2.1e-61,197.0,0,117,,,0.0,,0.0,215,2.4,X-RAY DIFFRACTION,0.190,2023-03-08,2023,test_new_234
7X66:L,0,human,K,4.200000000000001e-57,182.7,0,108,,,0.0,,0.0,215,2.4,X-RAY DIFFRACTION,0.190,2023-03-08,2023,test_new_234
7X6A:H,0,human,H,4.2e-53,170.0,0,118,,,0.0,,0.0,119,0,ELECTRON MICROSCOPY,,2022-07-13,2022,test_new_234
7X6A:L,0,human,K,3.6e-54,173.2,0,108,,,0.0,,0.0,109,0,ELECTRON MICROSCOPY,,2022-07-13,2022,test_new_234
7X7T:H,0,mouse,H,8.9e-52,165.6,0,118,,,0.0,,0.0,119,0,ELECTRON MICROSCOPY,,2022-08-17,2022,test_new_234
7X7T:L,0,mouse,K,2.9e-51,164.0,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2022-08-17,2022,test_new_234
7X8P:H,0,alpaca,H,1.2e-57,184.8,0,125,,,0.0,,0.0,227,2.24,X-RAY DIFFRACTION,0.216,2023-02-01,2023,test_new_234
7X8P:L,0,rhesus,L,1.5e-46,148.9,0,106,,,0.0,,0.0,209,2.24,X-RAY DIFFRACTION,0.216,2023-02-01,2023,test_new_234
7X8Q:H,0,alpaca,H,6.200000000000001e-58,185.8,0,119,,,0.0,,0.0,215,2.65,X-RAY DIFFRACTION,0.205,2023-01-18,2023,test_new_234
7X8Q:L,0,rhesus,K,8.9e-53,168.9,0,101,,,0.0,,0.0,206,2.65,X-RAY DIFFRACTION,0.205,2023-01-18,2023,test_new_234
7X8T:H,0,alpaca,H,1.3000000000000002e-57,184.7,0,125,,,0.0,,0.0,219,2.51,X-RAY DIFFRACTION,0.176,2023-02-01,2023,test_new_234
7X8T:L,0,rhesus,L,1.4999999999999998e-49,158.6,0,106,,,0.0,,0.0,209,2.51,X-RAY DIFFRACTION,0.176,2023-02-01,2023,test_new_234
7X8W:H,0,human,H,7.3e-56,178.9,0,121,,,0.0,,0.0,124,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X8W:L,0,rhesus,L,1.1999999999999999e-54,175.0,0,110,,,0.0,,0.0,113,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X8Y:H,0,alpaca,H,5.100000000000001e-59,189.3,0,124,,,0.0,,0.0,125,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X8Y:L,0,rhesus,K,2.2e-60,193.5,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X8Z:H,0,alpaca,H,1.6e-61,197.4,0,119,,,0.0,,0.0,120,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X8Z:L,0,human,K,3.8000000000000003e-59,189.3,0,111,,,0.0,,0.0,112,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X90:H,0,alpaca,H,1.4e-61,197.5,0,118,,,0.0,,0.0,119,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X90:L,0,human,K,1.1e-57,184.6,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X91:H,0,human,H,1.5e-50,161.8,0,119,,,0.0,,0.0,120,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X91:L,0,human,K,3.4999999999999995e-55,176.5,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X92:H,0,alpaca,H,1.9e-60,193.9,0,124,,,0.0,,0.0,125,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X92:L,0,human,K,2.5000000000000002e-58,186.7,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
7X93:H,0,alpaca,H,2.8e-60,193.4,0,118,,,0.0,,0.0,119,0,ELECTRON MICROSCOPY,,2023-03-22,2023,test_new_234
7X93:L,0,human,L,2.1e-53,171.0,0,109,,,0.0,,0.0,110,0,ELECTRON MICROSCOPY,,2023-03-22,2023,test_new_234
7X94:H,0,human,H,9.8e-53,168.8,0,126,,,0.0,,0.0,127,0,ELECTRON MICROSCOPY,,2023-03-22,2023,test_new_234
7X94:L,0,rhesus,L,4.8e-52,166.7,0,108,,,0.0,,0.0,109,0,ELECTRON MICROSCOPY,,2023-03-22,2023,test_new_234
7X95:H,0,alpaca,H,1.1e-56,181.8,0,122,,,0.0,,0.0,123,0,ELECTRON MICROSCOPY,,2023-03-22,2023,test_new_234
7X95:L,0,rhesus,L,9.6e-51,162.4,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2023-03-22,2023,test_new_234
7X96:H,0,human,H,3.1999999999999998e-55,176.9,0,119,,,0.0,,0.0,120,0,ELECTRON MICROSCOPY,,2023-03-22,2023,test_new_234
7X96:L,0,human,K,2.9e-56,180.0,0,108,,,0.0,,0.0,109,0,ELECTRON MICROSCOPY,,2023-03-22,2023,test_new_234
7X9E:H,0,alpaca,H,4.8e-51,163.5,0,117,,,0.0,,0.0,211,2.6,X-RAY DIFFRACTION,0.195,2022-03-15,2022,test_new_234
7X9E:L,0,rhesus,L,6.2e-50,159.8,0,108,,,0.0,,0.0,211,2.6,X-RAY DIFFRACTION,0.195,2022-03-15,2022,test_new_234
7XCK:H,0,human,H,1.4e-53,171.6,0,126,,,0.0,,0.0,223,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
7XCK:L,0,human,K,8.2e-56,178.5,0,107,,,0.0,,0.0,212,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
7XCO:H,0,human,H,1.4e-53,171.6,0,126,,,0.0,,0.0,223,0,ELECTRON MICROSCOPY,,2022-09-21,2022,test_new_234
7XCO:L,0,human,K,8.2e-56,178.5,0,107,,,0.0,,0.0,212,0,ELECTRON MICROSCOPY,,2022-09-21,2022,test_new_234
7XCP:H,0,alpaca,H,1.6e-58,187.7,0,117,,,0.0,,0.0,118,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
7XCP:L,0,human,K,7.4e-60,191.6,0,107,,,0.0,,0.0,108,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
7XCZ:H,0,human,H,1.4999999999999999e-53,171.4,0,113,,,0.0,,0.0,220,0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7XCZ:L,0,human,K,1.6e-56,180.9,0,108,,,0.0,,0.0,215,0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7XDA:H,0,human,H,1.4999999999999999e-53,171.4,0,113,,,0.0,,0.0,220,0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7XDA:L,0,human,K,1.6e-56,180.9,0,108,,,0.0,,0.0,215,0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7XDB:H,0,human,H,1.9e-54,174.3,0,117,,,0.0,,0.0,118,0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7XDB:L,0,rhesus,K,2.900000000000001e-58,186.7,0,105,,,0.0,,0.0,106,0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7XDK:H,0,human,H,1.4e-53,171.5,0,113,,,0.0,,0.0,214,0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7XDK:L,0,human,K,1.6e-56,180.9,0,108,,,0.0,,0.0,215,0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7XEG:H,0,alpaca,H,4.8e-62,199.1,0,118,,,0.0,,0.0,218,2.69,X-RAY DIFFRACTION,0.195,2023-05-31,2023,test_new_234
7XEG:L,0,human,K,6.8e-60,191.7,0,109,,,0.0,,0.0,215,2.69,X-RAY DIFFRACTION,0.195,2023-05-31,2023,test_new_234
7XEI:H,0,alpaca,H,4.6e-62,199.1,0,118,,,0.0,,0.0,216,2.76,X-RAY DIFFRACTION,0.215,2023-05-31,2023,test_new_234
7XEI:L,0,human,K,6.8e-60,191.7,0,109,,,0.0,,0.0,215,2.76,X-RAY DIFFRACTION,0.215,2023-05-31,2023,test_new_234
7XH8:H,0,human,H,8e-52,165.9,0,121,,,0.0,,0.0,122,2.99,ELECTRON MICROSCOPY,,2022-04-07,2022,test_new_234
7XH8:L,0,rhesus,K,6.499999999999998e-55,175.8,0,104,,,0.0,,0.0,105,2.99,ELECTRON MICROSCOPY,,2022-04-07,2022,test_new_234
7XIK:H,0,alpaca,H,8.799999999999999e-62,198.2,0,114,,,0.0,,0.0,217,2.89,X-RAY DIFFRACTION,0.211,2023-04-26,2023,test_new_234
